Address,Bedrooms,Bathrooms,Parking Spots,Study,Area in m²,Price
"2309/1 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,72,477000
"1008/1 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,695000
"1001/7 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,0,123,680000
"229/1 Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,-,585000
"1310/1 Australia Ave, Sydney Olympic Park",2,2,1,0,-,715000
"1202/11 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,0,-,750000
"506/11 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,675000
"3407/1 Brushbox Street,Sydney Olympic Park NSW 2127",2,2,1,1,-,-
"2202/7 Australia Avenue, Sydney Olympic Park, NSW 2127",1,1,1,1,90,589000
"811/1 Australia Ave,Sydney Olympic Park NSW 2127",2,1,1,1,79,640000
"21302/2B Figtree Drive,,Sydney Olympic Park NSW 2127",3,2,3,1,-,1350000
"912/7 Australia Avenue, Sydney Olympic Park NSW 2127",2,2,1,0,-,975000
"202/9 Australia Ave,Sydney Olympic Park NSW 2127",2,1,1,0,99,660000
"103/9 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,0,0,-,480000
"1005/1 Australia Avenue, Sydney Olympic Park",1,1,1,1,82,-
"D1212/1 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,1,92,780000
"22409/2B Figtree Drive, Sydney Olympic Park, NSW 2127",2,2,1,1,109,-
"10906/2A Figtree Drive, Sydney Olympic Park",1,1,0,1,59,-
"1113/7 Austalia Ave, Sydney Olympic Park",2,2,1,1,-,-
"702/1 Australia Avenue,Sydney Olympic Park NSW 2127",3,2,2,1,161,975000
"361/1 Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,-,570000
"503/7 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,0,107,650000
"3007/1 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,84,725000
"702/11 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,-,701000
"605/9 Australia Avenue, Sydney Olympic Park NSW 2127",2,2,1,0,150,775000
"402/11 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,-,608000
"C1401/7 Australia Ave,Sydney Olympic Park NSW 2127",1,1,1,0,-,525000
"1505 / 7 Australia Ave,Sydney Olympic Park NSW 2127",1,1,1,1,-,600000
"1213/7 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,1,-,730000
"1409/7 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,780000
"1404/7 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,67,600000
"C1213/7 Australia Ave.,Sydney Olympic Park NSW 2127",2,2,1,1,-,770000
"611/2 Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,-,600800
"908/7 Australia Avenue, Sydney Olympic Park",2,2,1,1,-,-
"1405/9 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,1,-,850000
"1207/1 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,-,636000
"357/1 Betty Cuthbert Avenue, Sydney Olympic Park",2,2,1,1,-,840000
"401/6 Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,-,750000
"2103/11 Australia Ave,Sydney Olympic Park NSW 2127",3,2,2,0,-,1090000
"2503/1 Australia Ave, Sydney Olympic Park, NSW 2127",1,1,1,1,-,610000
"1008/11 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,-,620000
"1301/7 Australia Avenue,Sydney Olympic Park NSW 2127",3,2,2,1,-,1225000
"2211/1 Australia Ave,Sydney Olympic Park NSW 2127",2,1,1,0,-,615000
"238/1 Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",3,2,2,1,153,968000
"2008/7 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,0,-,726000
"541/1 Betty Cuthbert Avenue, Sydney Olympic Park",1,1,1,1,76,-
